,RefSeq mRNA ID,Transcript stable ID
288,,ENST00000797715
289,,ENST00000792459
290,,ENST00000797716
291,,ENST00000820412
292,,ENST00000792460
293,,ENST00000797717
294,,ENST00000820413
295,,ENST00000792461
296,,ENST00000797718
297,,ENST00000792462
298,,ENST00000820414
299,,ENST00000797719
300,,ENST00000792463
301,,ENST00000820415
302,,ENST00000797720
303,,ENST00000792464
304,,ENST00000797721
305,,ENST00000820416
306,,ENST00000792465
307,,ENST00000797722
308,,ENST00000820417
309,,ENST00000792466
310,,ENST00000797723
311,,ENST00000820418
312,,ENST00000792467
313,,ENST00000820419
314,,ENST00000792468
315,,ENST00000797946
316,,ENST00000820420
317,,ENST00000792469
318,,ENST00000797947
319,,ENST00000792470
320,,ENST00000820421
321,,ENST00000797948
322,,ENST00000792471
323,,ENST00000820422
324,,ENST00000797949
325,,ENST00000820423
326,,ENST00000792472
327,,ENST00000783549
328,,ENST00000797950
329,,ENST00000820424
330,,ENST00000792473
331,,ENST00000783550
332,,ENST00000797951
333,,ENST00000820425
334,,ENST00000792474
335,,ENST00000797952
336,,ENST00000783551
337,,ENST00000751368
338,,ENST00000792475
339,,ENST00000820426
340,,ENST00000797953
341,,ENST00000783552
342,,ENST00000792476
343,,ENST00000820427
344,,ENST00000797954
345,,ENST00000792477
346,,ENST00000820428
347,,ENST00000797955
348,,ENST00000792478
349,,ENST00000820429
350,,ENST00000797956
351,,ENST00000792479
352,,ENST00000797957
353,,ENST00000792480
354,,ENST00000820430
355,,ENST00000792481
356,,ENST00000797958
357,,ENST00000820431
358,,ENST00000792482
359,,ENST00000797959
360,,ENST00000820432
361,,ENST00000728336
362,,ENST00000792483
363,,ENST00000774229
364,,ENST00000820433
365,,ENST00000728337
366,,ENST00000819228
367,,ENST00000792484
368,,ENST00000799157
369,,ENST00000820434
370,,ENST00000792485
371,,ENST00000738464
372,,ENST00000819229
373,,ENST00000799158
374,,ENST00000820435
375,,ENST00000792486
376,,ENST00000618679
377,,ENST00000820436
378,,ENST00000829179
379,,ENST00000792487
380,,ENST00000820437
381,,ENST00000612465
382,,ENST00000829180
383,,ENST00000792488
384,,ENST00000820438
385,,ENST00000792489
386,,ENST00000731702
387,,ENST00000820439
388,,ENST00000792490
389,,ENST00000820440
390,,ENST00000805939
391,,ENST00000797498
392,,ENST00000820441
393,,ENST00000820442
394,,ENST00000805940
395,,ENST00000797499
396,,ENST00000805941
397,,ENST00000797500
398,,ENST00000820642
399,,ENST00000805942
400,,ENST00000792862
401,,ENST00000797501
402,,ENST00000805943
403,,ENST00000820894
404,,ENST00000792863
405,,ENST00000797502
406,,ENST00000805944
407,,ENST00000820895
408,,ENST00000797503
409,NM_001257362,ENST00000616049
410,,ENST00000792864
411,,ENST00000805945
412,,ENST00000797504
413,,ENST00000836772
414,,ENST00000797505
415,,ENST00000805946
416,,ENST00000792865
417,,ENST00000616157
418,,ENST00000797506
419,,ENST00000805947
420,,ENST00000792866
421,,ENST00000797507
422,,ENST00000805948
423,,ENST00000616468
424,,ENST00000797508
425,,ENST00000792867
426,,ENST00000805949
427,,ENST00000758506
428,,ENST00000797509
429,,ENST00000792868
430,,ENST00000805950
431,,ENST00000758507
432,,ENST00000797510
433,,ENST00000758508
434,,ENST00000805951
435,,ENST00000792869
436,,ENST00000797511
437,,ENST00000758509
438,,ENST00000805952
439,,ENST00000792870
440,,ENST00000797512
441,,ENST00000758510
442,,ENST00000805953
443,,ENST00000792871
444,,ENST00000797513
445,,ENST00000758511
446,,ENST00000805954
447,,ENST00000792872
448,,ENST00000797514
449,,ENST00000758512
450,,ENST00000805955
451,,ENST00000792873
452,,ENST00000797515
453,,ENST00000805956
454,,ENST00000835512
455,,ENST00000797516
456,,ENST00000792874
457,,ENST00000805957
458,,ENST00000797517
459,,ENST00000805958
460,,ENST00000792875
461,,ENST00000797518
462,,ENST00000797519
463,,ENST00000792876
464,,ENST00000805959
465,,ENST00000797520
466,,ENST00000805960
467,,ENST00000797521
468,,ENST00000792877
469,,ENST00000805961
470,,ENST00000797522
471,,ENST00000792878
472,,ENST00000805962
473,,ENST00000797523
474,,ENST00000792879
475,,ENST00000805963
476,,ENST00000797524
477,,ENST00000792880
478,,ENST00000797525
479,,ENST00000792881
480,,ENST00000805964
481,,ENST00000797526
482,,ENST00000805965
483,,ENST00000797527
484,,ENST00000792882
485,,ENST00000797528
486,,ENST00000805966
487,,ENST00000797529
488,,ENST00000792883
489,,ENST00000805967
490,,ENST00000797530
491,,ENST00000792884
492,,ENST00000805968
